"person_age","person_gender","person_education","person_income","person_emp_exp","person_home_ownership","loan_amnt","loan_intent","loan_int_rate","loan_percent_income","cb_person_cred_hist_length","credit_score","previous_loan_defaults_on_file","loan_status","normalized_person_income"
21,"female","Master",71948,0,"RENT",35000,"PERSONAL",16.02,0.49,3,561,"No","1",0.0190826413399874
21,"female","High School",12282,0,"OWN",1000,"EDUCATION",11.14,NA,2,504,"Yes","0",0
25,"female","High School",12438,3,"MORTGAGE",5500,"MEDICAL",12.87,0,3,635,"No","1",4.9892602973855e-05
23,"female","Bachelor",79753,0,"RENT",35000,"MEDICAL",15.23,0.44,2,675,"No","1",0.0215788706105703
24,"male","Master",66135,1,"RENTT",35000,"MEDICAL",14.27,0.53,4,586,"No","1",0.0172235022304552
27.3908629441624,"female","High School",12951,0,"OWN",2500,"VENTURE",7.14,0.19,2,532,"No","1",0.000213962508907109
22,"female","Bachelor",85284,1,"RENT",35000,"EDUCATION",12.42,0.37,3,701,"No","1",0.0233478192454959
24,"male","High School",95550,5,"RENT",35000,"MEDICAL",11.11,0.37,4,585,"No","1",0.0266311363104292
22,"female","Bachelor",100684,3,"RENT",35000,"PERSONAL",8.9,0.35,2,544,"No","1",0.0282731146672739
21,"female","High School",12739,0,"OWN",1600,"VENTURE",14.74,0.13,3,640,"No","1",0.000146159740763152
22,"female","High School",102985,0,"RENT",35000,"VENTURE",10.37,0.34,4,621,"No","1",0.0290090305611383
21,"female","Associate",13113,0,"OWN",4500,"HOMEIMPROVEMENT",8.63,0.34,2,651,"No","1",0.000265774058149189
23,"male","Bachelor",114860,3,"RENT",35000,"VENTURE",7.9,0.3,2,573,"No","1",0.032806945050334
27.3908629441624,"male","Master",130713,0,"RENT",35000,"EDUCATION",18.39,0.27,4,708,"No","1",0.037877120915363
23,"female","Associate",3138998,0,"RENT",35000,"EDUCATION",7.9,0.25,4,583,"No","1",1
23,"female","Bachelor",85284,5,"MORTGAGE",30000,"DEBTCONSOLIDATION",10.65,0.05,3,670,"Yes","0",0.0233478192454959
23,"male","Bachelor",144943,0,"RENT",35000,"EDUCATION",7.9,0.24,4,663,"No","0",0.042428221814837
23,"female","High School",111369,0,"RENT",35000,"MEDICAL",20,0.31,4,694,"No","1",0.0316904381466049
23,"male","Bachelor",136628,0,"RENT",35000,"DEBTCONSOLIDATION",18.25,0.26,4,709,"No","1",0.039768882111455
24,"female","Master",14283,1,"MORTGAGE",1750,"EDUCATION",10.99,0.12,2,679,"No","1",0.000639968580453102
25,"male","Bachelor",195718,0,"RENT",35000,"VENTURE",7.49,0.18,4,684,"Yes","0",0.0586673046096927
25,"male","High School",165792,4,"RENT",34800,"PERSONAL",16.77,0.21,2,662,"No","0",0.0490962402725415
22,"female","Master",79255,0,"RENT",34000,"EDUCATION",17.58,0.43,4,691,"No","1",0.0214195980703076
24,"female","Bachelor",13866,0,"OWN",1500,"PERSONAL",7.29,0.11,3,600,"Yes","0",0.000506601814811451
22,"male","Bachelor",97420,1,"RENT",33950,"PERSONAL",14.54,0.35,4,691,"No","1",0.0272292078973594
24,"female","High School",82443,0,"RENT",33000,"HOMEIMPROVEMENT",12.68,0.4,3,654,"No","1",0.0224391981874913
